ID,cluster,time,activity
20110403110841,Cluster 1,1,C
20110403110841,Cluster 1,2,C
20110403110841,Cluster 1,3,D
20110403110841,Cluster 1,4,D
20110403110841,Cluster 1,5,D
20110403110841,Cluster 1,6,D
20110403110841,Cluster 1,7,D
20110403110841,Cluster 1,8,D
20110403110841,Cluster 1,9,D
20110403110841,Cluster 1,10,D
20110403110841,Cluster 1,11,D
20110403110841,Cluster 1,12,D
20110403110841,Cluster 1,13,D
20110403110841,Cluster 1,14,D
20110403110841,Cluster 1,15,D
20110403110841,Cluster 1,16,D
20110403110841,Cluster 1,17,D
20110403110841,Cluster 1,18,D
20110403110841,Cluster 1,19,D
20110403110841,Cluster 1,20,D
20110403110841,Cluster 1,21,D
20110403110841,Cluster 1,22,D
20110403110841,Cluster 1,23,D
20110403110841,Cluster 1,24,D
20110403110841,Cluster 1,25,D
20110403110841,Cluster 1,26,D
20110403110841,Cluster 1,27,J
20110403110841,Cluster 1,28,J
20110403110841,Cluster 1,29,H
20110403110841,Cluster 1,30,D
20110403110841,Cluster 1,31,D
20110403110841,Cluster 1,32,D
20110403110841,Cluster 1,33,D
20110403110841,Cluster 1,34,C
20110403110841,Cluster 1,35,C
20110403110841,Cluster 1,36,C
20110403110841,Cluster 1,37,C
20110403110841,Cluster 1,38,C
20110403110841,Cluster 1,39,C
20110403110841,Cluster 1,40,C
20110403110841,Cluster 1,41,C
20110403110841,Cluster 1,42,C
20110403110841,Cluster 1,43,C
20110403110841,Cluster 1,44,C
20110403110841,Cluster 1,45,C
20110403110841,Cluster 1,46,C
20110403110841,Cluster 1,47,C
20110403110841,Cluster 1,48,C
20131110130776,Cluster 1,1,C
20131110130776,Cluster 1,2,C
20131110130776,Cluster 1,3,C
20131110130776,Cluster 1,4,C
20131110130776,Cluster 1,5,C
20131110130776,Cluster 1,6,C
20131110130776,Cluster 1,7,C
20131110130776,Cluster 1,8,C
20131110130776,Cluster 1,9,C
20131110130776,Cluster 1,10,C
20131110130776,Cluster 1,11,C
20131110130776,Cluster 1,12,C
20131110130776,Cluster 1,13,B
20131110130776,Cluster 1,14,D
20131110130776,Cluster 1,15,D
20131110130776,Cluster 1,16,D
20131110130776,Cluster 1,17,D
20131110130776,Cluster 1,18,D
20131110130776,Cluster 1,19,D
20131110130776,Cluster 1,20,D
20131110130776,Cluster 1,21,D
20131110130776,Cluster 1,22,D
20131110130776,Cluster 1,23,D
20131110130776,Cluster 1,24,D
20131110130776,Cluster 1,25,D
20131110130776,Cluster 1,26,D
20131110130776,Cluster 1,27,D
20131110130776,Cluster 1,28,D
20131110130776,Cluster 1,29,D
20131110130776,Cluster 1,30,D
20131110130776,Cluster 1,31,D
20131110130776,Cluster 1,32,D
20131110130776,Cluster 1,33,E
20131110130776,Cluster 1,34,D
20131110130776,Cluster 1,35,D
20131110130776,Cluster 1,36,D
20131110130776,Cluster 1,37,C
20131110130776,Cluster 1,38,C
20131110130776,Cluster 1,39,C
20131110130776,Cluster 1,40,C
20131110130776,Cluster 1,41,C
20131110130776,Cluster 1,42,C
20131110130776,Cluster 1,43,C
20131110130776,Cluster 1,44,C
20131110130776,Cluster 1,45,C
20131110130776,Cluster 1,46,C
20131110130776,Cluster 1,47,C
20131110130776,Cluster 1,48,C
20150908150161,Cluster 1,1,C
20150908150161,Cluster 1,2,C
20150908150161,Cluster 1,3,C
20150908150161,Cluster 1,4,C
20150908150161,Cluster 1,5,C
20150908150161,Cluster 1,6,C
20150908150161,Cluster 1,7,C
20150908150161,Cluster 1,8,C
20150908150161,Cluster 1,9,D
20150908150161,Cluster 1,10,D
20150908150161,Cluster 1,11,D
20150908150161,Cluster 1,12,D
20150908150161,Cluster 1,13,D
20150908150161,Cluster 1,14,D
20150908150161,Cluster 1,15,D
20150908150161,Cluster 1,16,D
20150908150161,Cluster 1,17,D
20150908150161,Cluster 1,18,D
20150908150161,Cluster 1,19,E
20150908150161,Cluster 1,20,D
20150908150161,Cluster 1,21,E
20150908150161,Cluster 1,22,D
20150908150161,Cluster 1,23,E
20150908150161,Cluster 1,24,H
20150908150161,Cluster 1,25,D
20150908150161,Cluster 1,26,D
20150908150161,Cluster 1,27,E
20150908150161,Cluster 1,28,E
20150908150161,Cluster 1,29,D
20150908150161,Cluster 1,30,D
20150908150161,Cluster 1,31,H
20150908150161,Cluster 1,32,B
20150908150161,Cluster 1,33,D
20150908150161,Cluster 1,34,D
20150908150161,Cluster 1,35,D
20150908150161,Cluster 1,36,D
20150908150161,Cluster 1,37,D
20150908150161,Cluster 1,38,D
20150908150161,Cluster 1,39,D
20150908150161,Cluster 1,40,D
20150908150161,Cluster 1,41,C
20150908150161,Cluster 1,42,C
20150908150161,Cluster 1,43,C
20150908150161,Cluster 1,44,C
20150908150161,Cluster 1,45,C
20150908150161,Cluster 1,46,C
20150908150161,Cluster 1,47,C
20150908150161,Cluster 1,48,C
20090201092340,Cluster 1,1,C
20090201092340,Cluster 1,2,C
20090201092340,Cluster 1,3,C
20090201092340,Cluster 1,4,C
20090201092340,Cluster 1,5,C
20090201092340,Cluster 1,6,H
20090201092340,Cluster 1,7,H
20090201092340,Cluster 1,8,B
20090201092340,Cluster 1,9,E
20090201092340,Cluster 1,10,E
20090201092340,Cluster 1,11,E
20090201092340,Cluster 1,12,E
20090201092340,Cluster 1,13,E
20090201092340,Cluster 1,14,E
20090201092340,Cluster 1,15,D
20090201092340,Cluster 1,16,D
20090201092340,Cluster 1,17,D
20090201092340,Cluster 1,18,D
20090201092340,Cluster 1,19,D
20090201092340,Cluster 1,20,D
20090201092340,Cluster 1,21,D
20090201092340,Cluster 1,22,D
20090201092340,Cluster 1,23,D
20090201092340,Cluster 1,24,D
20090201092340,Cluster 1,25,D
20090201092340,Cluster 1,26,E
20090201092340,Cluster 1,27,H
20090201092340,Cluster 1,28,D
20090201092340,Cluster 1,29,D
20090201092340,Cluster 1,30,D
20090201092340,Cluster 1,31,D
20090201092340,Cluster 1,32,D
20090201092340,Cluster 1,33,D
20090201092340,Cluster 1,34,D
20090201092340,Cluster 1,35,D
20090201092340,Cluster 1,36,D
20090201092340,Cluster 1,37,D
20090201092340,Cluster 1,38,D
20090201092340,Cluster 1,39,C
20090201092340,Cluster 1,40,C
20090201092340,Cluster 1,41,C
20090201092340,Cluster 1,42,C
20090201092340,Cluster 1,43,C
20090201092340,Cluster 1,44,C
20090201092340,Cluster 1,45,C
20090201092340,Cluster 1,46,C
20090201092340,Cluster 1,47,C
20090201092340,Cluster 1,48,C
20150706151255,Cluster 1,1,C
20150706151255,Cluster 1,2,C
20150706151255,Cluster 1,3,C
20150706151255,Cluster 1,4,B
20150706151255,Cluster 1,5,A
20150706151255,Cluster 1,6,A
20150706151255,Cluster 1,7,A
20150706151255,Cluster 1,8,C
20150706151255,Cluster 1,9,C
20150706151255,Cluster 1,10,C
20150706151255,Cluster 1,11,C
20150706151255,Cluster 1,12,C
20150706151255,Cluster 1,13,C
20150706151255,Cluster 1,14,C
20150706151255,Cluster 1,15,D
20150706151255,Cluster 1,16,D
20150706151255,Cluster 1,17,D
20150706151255,Cluster 1,18,D
20150706151255,Cluster 1,19,A
20150706151255,Cluster 1,20,D
20150706151255,Cluster 1,21,D
20150706151255,Cluster 1,22,D
20150706151255,Cluster 1,23,D
20150706151255,Cluster 1,24,E
20150706151255,Cluster 1,25,E
20150706151255,Cluster 1,26,H
20150706151255,Cluster 1,27,H
20150706151255,Cluster 1,28,H
20150706151255,Cluster 1,29,D
20150706151255,Cluster 1,30,D
20150706151255,Cluster 1,31,D
20150706151255,Cluster 1,32,D
20150706151255,Cluster 1,33,D
20150706151255,Cluster 1,34,D
20150706151255,Cluster 1,35,D
20150706151255,Cluster 1,36,D
20150706151255,Cluster 1,37,D
20150706151255,Cluster 1,38,D
20150706151255,Cluster 1,39,C
20150706151255,Cluster 1,40,C
20150706151255,Cluster 1,41,C
20150706151255,Cluster 1,42,C
20150706151255,Cluster 1,43,C
20150706151255,Cluster 1,44,C
20150706151255,Cluster 1,45,C
20150706151255,Cluster 1,46,C
20150706151255,Cluster 1,47,C
20150706151255,Cluster 1,48,C
20040806041784,Cluster 1,1,C
20040806041784,Cluster 1,2,C
20040806041784,Cluster 1,3,C
20040806041784,Cluster 1,4,C
20040806041784,Cluster 1,5,C
20040806041784,Cluster 1,6,C
20040806041784,Cluster 1,7,C
20040806041784,Cluster 1,8,C
20040806041784,Cluster 1,9,C
20040806041784,Cluster 1,10,C
20040806041784,Cluster 1,11,C
20040806041784,Cluster 1,12,C
20040806041784,Cluster 1,13,C
20040806041784,Cluster 1,14,C
20040806041784,Cluster 1,15,C
20040806041784,Cluster 1,16,C
20040806041784,Cluster 1,17,E
20040806041784,Cluster 1,18,E
20040806041784,Cluster 1,19,D
20040806041784,Cluster 1,20,D
20040806041784,Cluster 1,21,D
20040806041784,Cluster 1,22,D
20040806041784,Cluster 1,23,D
20040806041784,Cluster 1,24,D
20040806041784,Cluster 1,25,J
20040806041784,Cluster 1,26,E
20040806041784,Cluster 1,27,E
20040806041784,Cluster 1,28,E
20040806041784,Cluster 1,29,D
20040806041784,Cluster 1,30,E
20040806041784,Cluster 1,31,H
20040806041784,Cluster 1,32,H
20040806041784,Cluster 1,33,K
20040806041784,Cluster 1,34,K
20040806041784,Cluster 1,35,K
20040806041784,Cluster 1,36,D
20040806041784,Cluster 1,37,D
20040806041784,Cluster 1,38,D
20040806041784,Cluster 1,39,D
20040806041784,Cluster 1,40,D
20040806041784,Cluster 1,41,L
20040806041784,Cluster 1,42,C
20040806041784,Cluster 1,43,C
20040806041784,Cluster 1,44,C
20040806041784,Cluster 1,45,C
20040806041784,Cluster 1,46,C
20040806041784,Cluster 1,47,C
20040806041784,Cluster 1,48,C
20121211121126,Cluster 1,1,C
20121211121126,Cluster 1,2,C
20121211121126,Cluster 1,3,C
20121211121126,Cluster 1,4,C
20121211121126,Cluster 1,5,C
20121211121126,Cluster 1,6,D
